Datum;Časová zóna;Typ;Detail;Částka [CZK];Název projektu;Odkaz na projekt;Typ projektu
2025-03-26 14:16:44;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,42;Rotunda Bratislava 1: 2. etapa;https://b3130.preview.investown.net/property/bratislava-rotunda-bratislava-1:-2.-etapa-227;crowdfunding
2025-03-26 14:16:44;+01:00;Výnos;Výnos z investice;4,04;Rotunda Bratislava 1: 2. etapa;https://b3130.preview.investown.net/property/bratislava-rotunda-bratislava-1:-2.-etapa-227;crowdfunding
2025-03-26 11:17:43;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,83;Mělnické stráně 1: 2. etapa;https://b3130.preview.investown.net/property/melnik-melnicke-strane-1:-2.-etapa-990;crowdfunding
2025-03-26 11:17:42;+01:00;Výnos;Výnos z investice;7,49;Mělnické stráně 1: 2. etapa;https://b3130.preview.investown.net/property/melnik-melnicke-strane-1:-2.-etapa-990;crowdfunding
2025-03-26 11:12:26;+01:00;Výnos;Výnos z investice;2,18;Rezidence Jateční – 1. tranše (E1);https://b3130.preview.investown.net/property/prerov-rezidence-jatecni-1.-transe-e1-401;crowdfunding
2025-03-26 09:45:08;+01:00;Výnos;Výnos z investice;8,01;RD v Dolních Břežanech – 1. etapa;https://b3130.preview.investown.net/property/dolni-brezany-praha-zapad-rd-v-dolnich-brezanech-1.-etapa-309;crowdfunding
2025-03-26 09:42:55;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,42;Rodinný dům Praha-Střížkovská 1: 2. etapa;https://b3130.preview.investown.net/property/praha-rodinny-dum-praha-strizkovska-1:-2.-etapa-121;crowdfunding
2025-03-26 09:42:54;+01:00;Výnos;Výnos z investice;3,95;Rodinný dům Praha-Střížkovská 1: 2. etapa;https://b3130.preview.investown.net/property/praha-rodinny-dum-praha-strizkovska-1:-2.-etapa-121;crowdfunding
2025-03-25 11:16:00;+01:00;Částečné splacení jistiny;Částečné splacení jistiny;29,73;Rezidence Výhledy Praha-Podolí 1: 1. etapa;https://b3130.preview.investown.net/property/praha-podoli-rezidence-vyhledy-praha-podoli-1:-1.-etapa-276;crowdfunding
2025-03-24 09:18:46;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,45;Pozemky Olomouc – Nový Svět 1: 7. etapa;https://b3130.preview.investown.net/property/olomouc-pozemky-olomouc-novy-svet-1:-7.-etapa-80;crowdfunding
2025-03-24 09:18:45;+01:00;Výnos;Výnos z investice;4,26;Pozemky Olomouc – Nový Svět 1: 7. etapa;https://b3130.preview.investown.net/property/olomouc-pozemky-olomouc-novy-svet-1:-7.-etapa-80;crowdfunding
2025-03-23 14:36:49;+01:00;Výnos;Výnos z investice;16,05;Rezidence Hlaváčkova – 1. tranše (E2);https://b3130.preview.investown.net/property/praha-rezidence-hlavackova-1.-transe-e2-725;crowdfunding
2025-03-23 13:59:42;+01:00;Výnos;Výnos z investice;4,16;Dvojdům TWIX – 1. tranše (E2);https://b3130.preview.investown.net/property/ujezd-u-pruhonic-praha-ujezd-dvojdum-twix-1.-transe-e2-981;crowdfunding
2025-03-23 13:59:36;+01:00;Výnos;Výnos z investice;29,16;Dvojdům TWIX – 1. tranše (E1);https://b3130.preview.investown.net/property/ujezd-u-pruhonic-praha-ujezd-dvojdum-twix-1.-transe-e1-482;crowdfunding
2025-03-22 14:58:09;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,83;Rezidence Lesík – 3. etapa;https://b3130.preview.investown.net/property/kladno-rezidence-lesik-3.-etapa-389;crowdfunding
2025-03-22 14:58:09;+01:00;Výnos;Výnos z investice;7,49;Rezidence Lesík – 3. etapa;https://b3130.preview.investown.net/property/kladno-rezidence-lesik-3.-etapa-389;crowdfunding
2025-03-22 14:55:09;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;1,24;Soubor nemovitostí 7000: 17. etapa;https://b3130.preview.investown.net/property/praha-soubor-nemovitosti-7000:-17.-etapa-938;crowdfunding
2025-03-22 14:55:09;+01:00;Výnos;Výnos z investice;11,63;Soubor nemovitostí 7000: 17. etapa;https://b3130.preview.investown.net/property/praha-soubor-nemovitosti-7000:-17.-etapa-938;crowdfunding
2025-03-22 08:17:20;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,43;Soubor nemovitostí 7000: 10. etapa;https://b3130.preview.investown.net/property/praha-soubor-nemovitosti-7000:-10.-etapa-24;crowdfunding
2025-03-22 08:17:20;+01:00;Výnos;Výnos z investice;4,02;Soubor nemovitostí 7000: 10. etapa;https://b3130.preview.investown.net/property/praha-soubor-nemovitosti-7000:-10.-etapa-24;crowdfunding
2025-03-21 17:36:33;+01:00;Autoinvestice;Autoinvestice do příležitosti;-1202,08;Pozemky Dolní Počernice 1: 2. etapa;https://b3130.preview.investown.net/property/praha-dolni-pocernice-pozemky-dolni-pocernice-1:-2.-etapa-934;crowdfunding
2025-03-21 17:30:50;+01:00;Vklad peněz;Bankovní převod;1000,00;;;
2025-03-21 12:56:57;+01:00;Výnos;Výnos z investice;4,16;Domy v přírodě – 2. tranše (E1);https://b3130.preview.investown.net/property/krizkovy-ujezdec-domy-v-prirode-2.-transe-e1-1;crowdfunding
2025-03-20 13:36:41;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,62;Rezidence Výhledy Praha-Podolí 1: 1. etapa;https://b3130.preview.investown.net/property/praha-podoli-rezidence-vyhledy-praha-podoli-1:-1.-etapa-276;crowdfunding
2025-03-20 13:36:40;+01:00;Výnos;Výnos z investice;5,54;Rezidence Výhledy Praha-Podolí 1: 1. etapa;https://b3130.preview.investown.net/property/praha-podoli-rezidence-vyhledy-praha-podoli-1:-1.-etapa-276;crowdfunding
2025-03-20 13:04:27;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,83;Apartmány Klecanda 1: 3. etapa;https://b3130.preview.investown.net/property/strazne-apartmany-klecanda-1:-3.-etapa-424;crowdfunding
2025-03-20 13:04:26;+01:00;Výnos;Výnos z investice;7,49;Apartmány Klecanda 1: 3. etapa;https://b3130.preview.investown.net/property/strazne-apartmany-klecanda-1:-3.-etapa-424;crowdfunding
2025-03-19 10:08:44;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,70;Nový cukrovar 3: 5. etapa;https://b3130.preview.investown.net/property/kolin-cerhenice-novy-cukrovar-3:-5.-etapa-326;crowdfunding
2025-03-19 10:08:44;+01:00;Výnos;Výnos z investice;6,85;Nový cukrovar 3: 5. etapa;https://b3130.preview.investown.net/property/kolin-cerhenice-novy-cukrovar-3:-5.-etapa-326;crowdfunding
2025-03-19 10:08:37;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,51;Nový cukrovar 3: 2. etapa;https://b3130.preview.investown.net/property/kolin-cerhenice-novy-cukrovar-3:-2.-etapa-596;crowdfunding
2025-03-19 10:08:37;+01:00;Výnos;Výnos z investice;4,99;Nový cukrovar 3: 2. etapa;https://b3130.preview.investown.net/property/kolin-cerhenice-novy-cukrovar-3:-2.-etapa-596;crowdfunding
2025-03-19 10:08:03;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,46;Nový cukrovar 3: 3. etapa;https://b3130.preview.investown.net/property/kolin-cerhenice-novy-cukrovar-3:-3.-etapa-434;crowdfunding
2025-03-19 10:08:02;+01:00;Výnos;Výnos z investice;4,48;Nový cukrovar 3: 3. etapa;https://b3130.preview.investown.net/property/kolin-cerhenice-novy-cukrovar-3:-3.-etapa-434;crowdfunding
2025-03-19 09:54:26;+01:00;Výnos;Výnos z investice;19,05;Pivovar v Lovosicích – 1. etapa;https://b3130.preview.investown.net/property/lovosice-pivovar-v-lovosicich-1.-etapa-746;crowdfunding
2025-03-19 09:47:03;+01:00;Výnos;Výnos z investice;15,00;Rodinné domy Vítějeves – 1. tranše (E1);https://b3130.preview.investown.net/property/vitejeves-rodinne-domy-vitejeves-1.-transe-e1-576;crowdfunding
2025-03-18 16:29:11;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;1,09;Skladové haly UNIMILK 1: 7. etapa;https://b3130.preview.investown.net/property/kosice-barca-skladove-haly-unimilk-1:-7.-etapa-215;crowdfunding
2025-03-18 16:29:10;+01:00;Výnos;Výnos z investice;10,67;Skladové haly UNIMILK 1: 7. etapa;https://b3130.preview.investown.net/property/kosice-barca-skladove-haly-unimilk-1:-7.-etapa-215;crowdfunding
2025-03-18 16:28:31;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,92;Skladové haly UNIMILK 1: 8. etapa;https://b3130.preview.investown.net/property/kosice-barca-skladove-haly-unimilk-1:-8.-etapa-194;crowdfunding
2025-03-18 16:28:30;+01:00;Výnos;Výnos z investice;9,06;Skladové haly UNIMILK 1: 8. etapa;https://b3130.preview.investown.net/property/kosice-barca-skladove-haly-unimilk-1:-8.-etapa-194;crowdfunding
2025-03-18 16:27:29;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,58;Skladové haly UNIMILK 1: 2. etapa;https://b3130.preview.investown.net/property/kosice-barca-skladove-haly-unimilk-1:-2.-etapa-50;crowdfunding
2025-03-18 16:27:29;+01:00;Výnos;Výnos z investice;5,66;Skladové haly UNIMILK 1: 2. etapa;https://b3130.preview.investown.net/property/kosice-barca-skladove-haly-unimilk-1:-2.-etapa-50;crowdfunding
2025-03-18 16:11:50;+01:00;Výnos;Výnos z investice;41,66;Rodinné domy Škvorec – 1. etapa;https://b3130.preview.investown.net/property/skvorec-praha-vychod-rodinne-domy-skvorec-1.-etapa-655;crowdfunding
2025-03-18 16:10:31;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,72;Developerský projekt Choryně 2: 4. etapa;https://b3130.preview.investown.net/property/choryne-developersky-projekt-choryne-2:-4.-etapa-576;crowdfunding
2025-03-18 16:10:30;+01:00;Výnos;Výnos z investice;7,09;Developerský projekt Choryně 2: 4. etapa;https://b3130.preview.investown.net/property/choryne-developersky-projekt-choryne-2:-4.-etapa-576;crowdfunding
2025-03-17 13:25:30;+01:00;Výnos;Výnos z investice;43,74;Dům v Lomu – 2. etapa;https://b3130.preview.investown.net/property/lom-lom-u-mostu-dum-v-lomu-2.-etapa-368;crowdfunding
2025-03-16 15:55:15;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,48;Terasy Březová alej – 1. tranše (E2) ;https://b3130.preview.investown.net/property/liberec-terasy-brezova-alej-1.-transe-e2-253;crowdfunding
2025-03-16 15:55:15;+01:00;Výnos;Výnos z investice;4,53;Terasy Březová alej – 1. tranše (E2) ;https://b3130.preview.investown.net/property/liberec-terasy-brezova-alej-1.-transe-e2-253;crowdfunding
2025-03-16 15:54:14;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,50;Bytový dům Brno-Veveří 1: 1. etapa;https://b3130.preview.investown.net/property/brno-bytovy-dum-brno-veveri-1:-1.-etapa-87;crowdfunding
2025-03-16 15:54:14;+01:00;Výnos;Výnos z investice;4,70;Bytový dům Brno-Veveří 1: 1. etapa;https://b3130.preview.investown.net/property/brno-bytovy-dum-brno-veveri-1:-1.-etapa-87;crowdfunding
2025-03-15 17:03:06;+01:00;Autoinvestice;Autoinvestice do příležitosti;-501,85;Soubor nemovitostí Zbuzany 1: 9. etapa;https://b3130.preview.investown.net/property/zbuzany-soubor-nemovitosti-zbuzany-1:-9.-etapa-408;crowdfunding
2025-03-15 16:44:45;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,83;Green Resort Kunětická hora 1: 12. etapa;https://b3130.preview.investown.net/property/dritec-green-resort-kuneticka-hora-1:-12.-etapa-386;crowdfunding
2025-03-15 16:44:45;+01:00;Výnos;Výnos z investice;7,49;Green Resort Kunětická hora 1: 12. etapa;https://b3130.preview.investown.net/property/dritec-green-resort-kuneticka-hora-1:-12.-etapa-386;crowdfunding
2025-03-15 14:16:15;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,83;Green Resort Kunětická hora 1: 6. etapa;https://b3130.preview.investown.net/property/dritec-green-resort-kuneticka-hora-1:-6.-etapa-614;crowdfunding
2025-03-15 14:16:15;+01:00;Výnos;Výnos z investice;7,49;Green Resort Kunětická hora 1: 6. etapa;https://b3130.preview.investown.net/property/dritec-green-resort-kuneticka-hora-1:-6.-etapa-614;crowdfunding
2025-03-15 11:52:31;+01:00;Výnos;Výnos z investice;4,37;Zámek Bezno – 2. etapa;https://b3130.preview.investown.net/property/bezno-zamek-bezno-2.-etapa-270;crowdfunding
2025-03-15 10:04:37;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,70;Bytový dům Brno-Husovice – 10. etapa ;https://b3130.preview.investown.net/property/brno-bytovy-dum-brno-husovice-10.-etapa-749;crowdfunding
2025-03-15 10:04:36;+01:00;Výnos;Výnos z investice;6,60;Bytový dům Brno-Husovice – 10. etapa ;https://b3130.preview.investown.net/property/brno-bytovy-dum-brno-husovice-10.-etapa-749;crowdfunding
2025-03-14 13:33:31;+01:00;Smluvní pokuta;Úroky z prodlení partnera;0,04;Rezidenční bydlení Libochovice – 2. tranše (E1);https://b3130.preview.investown.net/property/libochovice-rezidencni-bydleni-libochovice-2.-transe-e1-677;crowdfunding
2025-03-14 09:01:38;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;1,67;Nebytový prostor Nebušice 1: 1. etapa;https://b3130.preview.investown.net/property/praha-nebusice-nebytovy-prostor-nebusice-1:-1.-etapa-644;crowdfunding
2025-03-14 09:01:37;+01:00;Výnos;Výnos z investice;17,83;Nebytový prostor Nebušice 1: 1. etapa;https://b3130.preview.investown.net/property/praha-nebusice-nebytovy-prostor-nebusice-1:-1.-etapa-644;crowdfunding
2025-03-13 17:33:04;+01:00;Výnos;Výnos z investice;4,21;Rezidenční bydlení Libochovice – 2. tranše (E1);https://b3130.preview.investown.net/property/libochovice-rezidencni-bydleni-libochovice-2.-transe-e1-677;crowdfunding
2025-03-13 17:29:25;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;1,36;Lux Apartments 2: 11. etapa;https://b3130.preview.investown.net/property/senica-lux-apartments-2:-11.-etapa-666;crowdfunding
2025-03-13 17:29:25;+01:00;Výnos;Výnos z investice;13,59;Lux Apartments 2: 11. etapa;https://b3130.preview.investown.net/property/senica-lux-apartments-2:-11.-etapa-666;crowdfunding
2025-03-13 14:52:45;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,42;Bytový dům Zádušní 1: 1. etapa;https://b3130.preview.investown.net/property/kladno-bytovy-dum-zadusni-1:-1.-etapa-905;crowdfunding
2025-03-13 14:52:45;+01:00;Výnos;Výnos z investice;3,91;Bytový dům Zádušní 1: 1. etapa;https://b3130.preview.investown.net/property/kladno-bytovy-dum-zadusni-1:-1.-etapa-905;crowdfunding
2025-03-13 14:52:19;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,83;Bytový dům Zádušní 1: 4. etapa;https://b3130.preview.investown.net/property/kladno-bytovy-dum-zadusni-1:-4.-etapa-139;crowdfunding
2025-03-13 14:52:18;+01:00;Výnos;Výnos z investice;7,83;Bytový dům Zádušní 1: 4. etapa;https://b3130.preview.investown.net/property/kladno-bytovy-dum-zadusni-1:-4.-etapa-139;crowdfunding
2025-03-13 13:16:48;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,43;Bytový dům Praha-Holubova 1: 1. etapa;https://b3130.preview.investown.net/property/praha-bytovy-dum-praha-holubova-1:-1.-etapa-100;crowdfunding
2025-03-13 13:16:47;+01:00;Výnos;Výnos z investice;4,09;Bytový dům Praha-Holubova 1: 1. etapa;https://b3130.preview.investown.net/property/praha-bytovy-dum-praha-holubova-1:-1.-etapa-100;crowdfunding
2025-03-13 11:12:38;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;1,07;Rodinný dům v Divišově – 1. etapa;https://b3130.preview.investown.net/property/divisov-rodinny-dum-v-divisove-1.-etapa-328;crowdfunding
2025-03-13 11:12:38;+01:00;Výnos;Výnos z investice;10,18;Rodinný dům v Divišově – 1. etapa;https://b3130.preview.investown.net/property/divisov-rodinny-dum-v-divisove-1.-etapa-328;crowdfunding
2025-03-12 08:37:17;+01:00;Výnos;Výnos z investice;9,89;Residence Lípové sady 2. v pořadí – 2. tranše (E1);https://b3130.preview.investown.net/property/rousinov-residence-lipove-sady-2.-v-poradi-2.-transe-e1-914;crowdfunding
2025-03-11 21:42:07;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,94;Taneční studio Praha-Vršovice 1: 1. etapa;https://b3130.preview.investown.net/property/praha-vrsovice-tanecni-studio-praha-vrsovice-1:-1.-etapa-923;crowdfunding
2025-03-11 21:42:07;+01:00;Výnos;Výnos z investice;10,35;Taneční studio Praha-Vršovice 1: 1. etapa;https://b3130.preview.investown.net/property/praha-vrsovice-tanecni-studio-praha-vrsovice-1:-1.-etapa-923;crowdfunding
2025-03-11 15:30:59;+01:00;Smluvní pokuta;Úroky z prodlení partnera;0,36;RD v Dolních Břežanech – 1. etapa;https://b3130.preview.investown.net/property/dolni-brezany-praha-zapad-rd-v-dolnich-brezanech-1.-etapa-309;crowdfunding
2025-03-11 15:24:41;+01:00;Zákonné úroky z prodlení;Zákonné úroky z prodlení partnera;0,06;RD v Dolních Břežanech – 1. etapa;https://b3130.preview.investown.net/property/dolni-brezany-praha-zapad-rd-v-dolnich-brezanech-1.-etapa-309;crowdfunding
2025-03-11 10:13:28;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,58;Rezidence Soběhrdy 1: 3. etapa;https://b3130.preview.investown.net/property/sobehrdy-rezidence-sobehrdy-1:-3.-etapa-459;crowdfunding
2025-03-11 10:13:28;+01:00;Výnos;Výnos z investice;5,48;Rezidence Soběhrdy 1: 3. etapa;https://b3130.preview.investown.net/property/sobehrdy-rezidence-sobehrdy-1:-3.-etapa-459;crowdfunding
2025-03-11 10:13:21;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,42;Dům Jílové u Prahy 1: 1. etapa;https://b3130.preview.investown.net/property/jilove-u-prahy-dum-jilove-u-prahy-1:-1.-etapa-516;crowdfunding
2025-03-11 10:13:21;+01:00;Výnos;Výnos z investice;3,95;Dům Jílové u Prahy 1: 1. etapa;https://b3130.preview.investown.net/property/jilove-u-prahy-dum-jilove-u-prahy-1:-1.-etapa-516;crowdfunding
2025-03-11 10:09:26;+01:00;Výnos;Výnos z investice;17,49;Meta Development II - 8. etapa ;https://b3130.preview.investown.net/property/kladno-krocehlavy-meta-development-ii-8.-etapa-755;crowdfunding
2025-03-11 10:08:46;+01:00;Výnos;Výnos z investice;8,74;Meta Development II - 4. etapa ;https://b3130.preview.investown.net/property/kladno-krocehlavy-meta-development-ii-4.-etapa-79;crowdfunding
2025-03-10 11:23:32;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,38;Bytový dům Kutná Hora 1: 1. etapa;https://b3130.preview.investown.net/property/kutna-hora-bytovy-dum-kutna-hora-1:-1.-etapa-633;crowdfunding
2025-03-10 11:23:32;+01:00;Výnos;Výnos z investice;3,57;Bytový dům Kutná Hora 1: 1. etapa;https://b3130.preview.investown.net/property/kutna-hora-bytovy-dum-kutna-hora-1:-1.-etapa-633;crowdfunding
2025-03-10 10:51:21;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,71;Four Elements – 2. tranše (E1);https://b3130.preview.investown.net/property/antoninov-four-elements-2.-transe-e1-579;crowdfunding
2025-03-10 10:51:21;+01:00;Výnos;Výnos z investice;6,37;Four Elements – 2. tranše (E1);https://b3130.preview.investown.net/property/antoninov-four-elements-2.-transe-e1-579;crowdfunding
2025-03-10 09:53:20;+01:00;Bonusový výnos;Bonusový výnos podle úrovně;0,44;Dům u sv. Václava – 1. tranše (E1) ;https://b3130.preview.investown.net/property/psary-dum-u-sv.-vaclava-1.-transe-e1-427;crowdfunding
2025-03-10 09:53:20;+01:00;Výnos;Výnos z investice;3,91;Dům u sv. Václava – 1. tranše (E1) ;https://b3130.preview.investown.net/property/psary-dum-u-sv.-vaclava-1.-transe-e1-427;crowdfunding
2025-03-09 12:19:44;+01:00;Výběr peněz;Bankovní převod;-1,00;;;
2025-03-09 11:00:10;+01:00;Výnos;Výnos z investice;0,02;Nové bydlení Letohrad - RD 2: 12. etapa;https://b3130.preview.investown.net/property/letohrad-nove-bydleni-letohrad-rd-2:-12.-etapa-533;crowdfunding
